phase_2,phase_4
0.0,0.7706276
1.6e-6,0.7706562
5.0e-6,0.7706792
9.6e-6,0.7707066
1.34e-5,0.7707306
1.62e-5,0.7707596
2.12e-5,0.7707824
2.42e-5,0.7708094
2.94e-5,0.7708332
3.28e-5,0.7708588
3.78e-5,0.770891
4.0e-5,0.7709186
4.68e-5,0.770945
5.32e-5,0.7709774
6.06e-5,0.7710034
6.44e-5,0.7710294
7.22e-5,0.7710608
7.46e-5,0.7710838
7.9e-5,0.7711126
8.18e-5,0.771136
8.52e-5,0.7711656
8.86e-5,0.7711906
9.68e-5,0.7712196
0.000101,0.7712442
0.0001078,0.7712708
0.0001122,0.7712974
0.0001154,0.7713248
0.0001182,0.7713504
0.0001214,0.7713774
0.0001252,0.7714046
0.0001282,0.771438
0.0001334,0.771466
0.0001384,0.7714908
0.0001418,0.7715204
0.0001478,0.7715484
0.0001522,0.7715758
0.0001602,0.7716036
0.0001656,0.7716268
0.0001674,0.7716542
0.0001714,0.7716792
0.0001758,0.7717058
0.0001818,0.7717232
0.0001844,0.7717546
0.0001894,0.7717832
0.0001952,0.7718124
0.0001996,0.771844
0.0002024,0.7718754
0.0002068,0.7718992
0.000211,0.7719246
0.0002142,0.7719492
0.0002174,0.7719762
0.0002214,0.7720094
0.0002258,0.7720408
0.0002316,0.772065
0.0002354,0.7720954
0.0002388,0.7721248
0.0002422,0.7721506
0.000246,0.7721808
0.0002502,0.7722042
0.000252,0.772231
0.0002558,0.77226
0.000261,0.772291
0.0002648,0.7723136
0.0002674,0.7723322
0.0002712,0.7723582
0.0002748,0.772394
0.0002804,0.7724176
0.0002852,0.7724436
0.0002886,0.7724712
0.0002904,0.772498
0.000295,0.7725234
0.0002996,0.7725514
0.0003038,0.7725706
0.0003092,0.7725972
0.0003118,0.7726236
0.0003146,0.7726478
0.0003198,0.7726748
0.0003216,0.7727004
0.000325,0.7727304
0.0003318,0.772753
0.0003378,0.7727788
0.0003422,0.7728108
0.0003468,0.7728358
0.0003534,0.772861
0.0003574,0.7728914
0.0003616,0.7729162
0.0003678,0.7729418
0.0003726,0.772972
0.000377,0.773005
0.0003816,0.7730358
0.0003838,0.7730602
0.0003886,0.7730878
0.0003958,0.7731138
0.0003992,0.773135
0.0004032,0.7731594
0.0004076,0.7731832
0.0004118,0.7732116
0.0004162,0.7732362
0.0004208,0.7732614
0.0004238,0.7732904
0.0004276,0.7733264
0.000433,0.7733574
0.0004374,0.7733884
0.0004418,0.773413
0.0004462,0.7734432
0.0004502,0.7734716
0.0004536,0.7735004
0.0004592,0.7735212
0.0004624,0.7735476
0.00047,0.773574
0.0004728,0.7735988
0.0004768,0.7736216
0.000478,0.7736488
0.0004834,0.7736772
0.0004892,0.7737052
0.0004942,0.7737302
0.0004982,0.7737574
0.0005016,0.7737944
0.0005052,0.7738158
0.0005124,0.773843
0.0005162,0.7738712
0.0005204,0.773894
0.0005248,0.773921
0.0005284,0.7739418
0.0005346,0.773972
0.0005382,0.7739984
0.0005436,0.7740204
0.0005494,0.7740474
0.0005566,0.7740756
0.0005608,0.7741042
0.0005646,0.7741258
0.0005702,0.7741552
0.0005726,0.7741808
0.0005746,0.7742054
0.0005798,0.774233
0.0005816,0.7742658
0.000584,0.7742958
0.0005872,0.7743214
0.0005912,0.7743482
0.000596,0.7743766
0.0006042,0.774401
0.0006092,0.7744254
0.0006148,0.7744526
0.0006192,0.7744776
0.0006222,0.7745064
0.0006228,0.7745338
0.000625,0.7745648
0.0006282,0.7745958
0.0006314,0.774622
0.0006368,0.7746456
0.0006392,0.7746716
0.0006424,0.7747002
0.0006478,0.7747276
0.0006522,0.774754
0.0006558,0.7747828
0.0006592,0.774814
0.000663,0.774842
0.0006672,0.7748616
0.0006714,0.7748924
0.0006766,0.7749174
0.0006798,0.774947
0.0006838,0.7749756
0.000689,0.7750016
0.0006924,0.775027
0.0006978,0.775053
0.0007032,0.7750818
0.0007106,0.7751094
0.0007166,0.775132
0.0007224,0.7751612
0.0007272,0.7751874
0.0007294,0.7752114
0.0007316,0.7752376
0.0007354,0.7752652
0.0007388,0.7752884
0.0007428,0.7753104
0.00075,0.7753352
0.0007538,0.7753594
0.0007576,0.7753828
0.0007614,0.7754064
0.0007658,0.7754352
0.0007678,0.7754624
0.0007706,0.775489
0.0007776,0.7755118
0.000783,0.775538
0.0007866,0.7755672
0.0007916,0.7755956
0.0007994,0.7756216
0.000803,0.7756524
0.0008068,0.7756756
0.000809,0.7757042
0.0008138,0.7757242
0.0008174,0.7757522
0.0008202,0.7757786
0.0008232,0.775808
0.0008274,0.7758354
0.000832,0.7758606
0.0008368,0.7758902
0.0008406,0.7759118
0.0008454,0.7759358
0.0008482,0.775962
0.0008526,0.7759898
0.0008564,0.7760118
0.000861,0.7760384
0.0008656,0.7760674
0.0008698,0.7760968
0.0008738,0.7761212
0.0008798,0.7761454
0.0008828,0.7761736
0.0008888,0.7761966
0.0008922,0.7762278
0.0008942,0.776251
0.0008986,0.7762846
0.0009028,0.7763108
0.0009058,0.7763418
0.00091,0.7763676
0.0009152,0.7763966
0.0009192,0.776419
0.0009228,0.7764382
0.0009284,0.7764608
0.0009328,0.7764848
0.0009388,0.7765106
0.0009432,0.7765374
0.0009474,0.7765602
0.0009498,0.7765888
0.000953,0.77662
0.0009586,0.7766434
0.0009616,0.7766688
0.0009652,0.7766984
0.0009692,0.776718
0.000974,0.7767506
0.0009788,0.7767778
0.000983,0.7768022
0.000986,0.7768262
0.0009898,0.7768512
0.0009924,0.7768752
0.000999,0.776903
0.0010022,0.7769326
0.0010048,0.7769558
0.0010072,0.7769816
0.0010118,0.7770058
0.0010162,0.777036
0.0010208,0.7770558
0.0010276,0.7770792
0.001033,0.777104
0.0010382,0.7771306
0.0010424,0.7771546
0.0010476,0.777179
0.0010502,0.7772048
0.0010546,0.7772232
0.0010604,0.7772474
0.0010642,0.777267
0.001069,0.7772912
0.0010726,0.7773144
0.0010766,0.7773374
0.00108,0.7773708
0.0010838,0.7773956
0.0010882,0.7774186
0.0010916,0.7774458
0.0010952,0.7774702
0.0010994,0.7774952
0.001103,0.7775234
0.001108,0.7775456
0.0011116,0.7775722
0.0011166,0.777601
0.0011218,0.7776276
0.0011262,0.7776512
0.001129,0.777682
0.0011336,0.7777078
0.0011372,0.7777358
0.0011446,0.7777654
0.0011506,0.7777952
0.001154,0.777823
0.001159,0.7778442
0.0011654,0.7778702
0.0011708,0.7778934
0.0011754,0.7779186
0.0011776,0.7779486
0.0011818,0.7779796
0.0011874,0.7780028
0.0011896,0.7780288
0.0011948,0.7780572
0.0011978,0.7780818
0.0012016,0.7781126
0.001207,0.7781406
0.001213,0.7781668
0.0012174,0.778193
0.0012204,0.7782192
0.001224,0.7782426
0.0012312,0.77827
0.001237,0.7782962
0.0012418,0.7783294
0.0012464,0.7783604
0.001253,0.7783866
0.0012566,0.778415
0.0012626,0.7784382
0.0012668,0.7784574
0.0012722,0.7784786
0.0012774,0.7785056
0.0012808,0.7785292
0.001285,0.7785534
0.0012892,0.7785796
0.001295,0.7786012
0.0012994,0.778623
0.0013036,0.7786492
0.0013066,0.7786768
0.001311,0.7787058
0.0013146,0.7787276
0.0013172,0.778754
0.0013222,0.7787778
0.0013266,0.7788088
0.0013304,0.778834
0.0013344,0.7788548
0.001338,0.7788804
0.0013428,0.7789028
0.0013456,0.7789354
0.001349,0.7789566
0.0013526,0.7789816
0.0013572,0.7790058
0.0013644,0.7790362
0.0013698,0.7790642
0.0013728,0.779085
0.0013754,0.7791062
0.0013774,0.7791294
0.0013812,0.7791552
0.0013836,0.7791768
0.0013878,0.779201
0.0013896,0.7792264
0.0013938,0.7792436
0.0013984,0.7792684
0.0014024,0.7793016
0.001407,0.7793306
0.0014092,0.7793548
0.0014136,0.7793818
0.0014166,0.7794038
0.0014186,0.7794352
0.0014206,0.779455
0.0014244,0.7794796
0.001428,0.7795064
0.0014314,0.7795336
0.0014364,0.779563
0.0014402,0.7795892
0.0014452,0.7796136
0.00145,0.7796412
0.0014546,0.7796724
0.0014596,0.7796976
0.0014638,0.779722
0.001469,0.77975
0.0014738,0.779777
0.001477,0.7798052
0.001481,0.7798344
0.001485,0.7798664
0.0014894,0.7798996
0.0014946,0.7799296
0.0014984,0.7799572
0.0015034,0.7799772
0.0015066,0.7800074
0.001512,0.7800318
0.0015168,0.7800572
0.0015184,0.7800806
0.0015232,0.7801044
0.0015282,0.780131
0.0015326,0.7801546
0.0015358,0.7801804
0.001539,0.7802072
0.0015442,0.7802336
0.0015476,0.7802602
0.001551,0.7802878
0.0015556,0.7803128
0.0015586,0.7803364
0.0015628,0.7803718
0.0015662,0.7803998
0.0015708,0.7804208
0.0015748,0.780447
0.0015816,0.7804694
0.0015868,0.7804892
0.0015912,0.7805106
0.0015944,0.7805344
0.001599,0.780558
0.0016034,0.780584
0.0016066,0.780613
0.0016088,0.7806412
0.001612,0.7806656
0.0016178,0.7806918
0.0016224,0.7807238
0.001628,0.7807522
0.001634,0.7807762
0.0016388,0.7808072
0.0016434,0.7808364
0.0016468,0.7808604
0.0016514,0.780887
0.0016598,0.7809156
0.001662,0.7809438
0.0016662,0.780968
0.0016716,0.7809938
0.001678,0.7810242
0.001681,0.781046
0.0016836,0.7810726
0.0016876,0.7810974
0.0016922,0.7811238
0.0016954,0.7811442
0.0016986,0.7811714
0.001703,0.7811944
0.0017058,0.7812224
0.001711,0.7812456
0.001716,0.7812702
0.001721,0.7812912
0.0017236,0.7813118
0.0017274,0.781336
0.0017306,0.7813662
0.001735,0.781391
0.0017404,0.781419
0.0017438,0.7814406
0.001747,0.7814732
0.0017488,0.7814972
0.0017524,0.7815168
0.0017594,0.781544
0.0017626,0.7815698
0.0017674,0.7815928
0.0017718,0.7816158
0.0017754,0.7816452
0.0017798,0.7816736
0.001784,0.7816936
0.0017892,0.781723
0.0017938,0.7817454
0.0017974,0.781773
0.0018024,0.7817976
0.001806,0.7818198
0.0018122,0.781846
0.001817,0.7818688
0.0018228,0.781894
0.0018252,0.7819136
0.0018282,0.7819354
0.001832,0.7819576
0.0018368,0.7819828
0.0018402,0.7820024
0.0018452,0.7820258
0.0018478,0.7820504
0.0018524,0.7820794
0.0018574,0.782106
0.0018612,0.7821314
0.0018656,0.78216
0.0018724,0.7821838
0.0018764,0.7822038
0.0018794,0.7822258
0.0018838,0.782251
0.001888,0.782276
0.0018914,0.7823022
0.0018964,0.7823278
0.0019016,0.782354
0.0019056,0.7823858
0.0019102,0.7824088
0.0019146,0.7824302
0.0019166,0.782456
0.00192,0.7824852
0.0019248,0.7825128
0.0019288,0.7825408
0.0019318,0.782568
0.0019342,0.7825982
0.0019384,0.7826292
0.0019416,0.7826552
0.0019468,0.7826766
0.0019516,0.782702
0.0019558,0.7827342
0.001959,0.782756
0.001962,0.7827836
0.0019648,0.782811
0.0019682,0.7828384
0.0019706,0.7828678
0.0019754,0.7828922
0.0019794,0.7829222
0.0019824,0.7829452
0.0019874,0.7829684
0.001991,0.7829876
0.0019948,0.783013
0.0019986,0.783037
0.0020036,0.7830658
0.002009,0.783093
0.0020126,0.7831176
0.0020166,0.7831412
0.0020212,0.7831678
0.0020236,0.7831936
0.0020278,0.783217
0.002031,0.7832456
0.002035,0.783272
0.0020386,0.7833008
0.0020428,0.7833282
0.0020456,0.7833556
0.0020486,0.7833844
0.0020516,0.7834128
0.002056,0.783438
0.0020606,0.7834684
0.0020636,0.7834916
0.0020668,0.7835112
0.0020708,0.7835336
0.0020748,0.7835536
0.0020792,0.7835824
0.002081,0.7836048
0.0020842,0.7836306
0.0020884,0.7836548
0.002093,0.78368
0.0020952,0.783702
0.0021002,0.7837292
0.0021044,0.7837582
0.0021094,0.7837876
0.0021144,0.7838114
0.0021198,0.7838388
0.0021228,0.7838648
0.0021278,0.7838904
0.0021312,0.7839176
0.0021344,0.7839438
0.0021362,0.783976
0.0021378,0.7840014
0.0021422,0.7840266
0.0021462,0.784055
0.00215,0.7840866
0.0021552,0.7841152
0.0021568,0.7841426
0.00216,0.7841656
0.0021656,0.7841934
0.0021694,0.784221
0.0021716,0.7842488
0.002176,0.7842698
0.0021814,0.7842916
0.0021856,0.7843206
0.0021898,0.7843464
0.0021952,0.784371
0.0021984,0.7843964
0.0022032,0.784422
0.002206,0.7844496
0.0022112,0.7844772
0.0022144,0.784502
0.0022182,0.7845274
0.0022224,0.784553
0.0022254,0.7845804
0.0022286,0.7846082
0.0022338,0.7846282
0.0022388,0.7846562
0.0022428,0.7846764
0.0022462,0.784701
0.0022506,0.784723
0.0022532,0.7847502
0.0022568,0.7847706
0.0022624,0.7847978
0.002265,0.7848246
0.002269,0.7848538
0.0022756,0.7848832
0.002279,0.7849108
0.0022854,0.7849318
0.0022884,0.7849596
0.0022944,0.7849928
0.0022992,0.7850214
0.002306,0.7850446
0.0023122,0.7850722
0.0023142,0.7850982
0.002319,0.7851234
0.0023242,0.7851472
0.0023306,0.7851706
0.0023356,0.7851926
0.002341,0.785222
0.0023466,0.7852472
0.0023508,0.7852726
0.0023542,0.7853064
0.002359,0.7853316
0.0023636,0.7853598
0.0023676,0.7853894
0.002373,0.7854176
0.0023784,0.7854402
0.0023838,0.785467
0.0023882,0.7854936
0.0023938,0.7855224
0.002397,0.7855482
0.0024006,0.7855728
0.002403,0.7856002
0.002406,0.785628
0.0024092,0.78565
0.0024144,0.7856792
0.0024174,0.7857102
0.0024228,0.7857402
0.0024272,0.7857656
0.0024328,0.7857872
0.002439,0.7858112
0.0024412,0.7858344
0.002443,0.7858618
0.002446,0.785893
0.0024512,0.7859166
0.002454,0.7859368
0.0024564,0.785966
0.0024616,0.7859972
0.0024674,0.7860262
0.0024724,0.786048
0.0024782,0.786073
0.0024838,0.7861016
0.0024886,0.7861284
0.0024936,0.786152
0.0024972,0.786175
0.0025012,0.7861996
0.0025072,0.7862276
0.0025122,0.786252
0.002516,0.786276
0.0025208,0.7863
0.002524,0.7863308
0.002528,0.7863546
0.0025308,0.786378
0.0025344,0.7864078
0.0025388,0.7864346
0.0025416,0.7864592
0.0025456,0.7864858
0.002549,0.7865116
0.002553,0.7865342
0.0025574,0.7865632
0.0025624,0.7865834
0.0025654,0.7866058
0.0025718,0.7866314
0.0025788,0.786653
0.002585,0.7866712
0.0025876,0.7866926
0.0025946,0.7867174
0.002599,0.7867398
0.0026024,0.7867652
0.0026062,0.786784
0.0026088,0.7868068
0.0026128,0.7868374
0.0026146,0.786866
0.002619,0.7868914
0.0026212,0.7869122
0.0026234,0.7869372
0.0026282,0.7869612
0.0026306,0.7869822
0.0026352,0.7870058
0.0026384,0.7870276
0.0026434,0.7870504
0.0026484,0.7870752
0.0026514,0.7871
0.0026548,0.7871278
0.0026598,0.7871564
0.0026656,0.7871756
0.0026712,0.7872006
0.0026742,0.7872298
0.0026784,0.7872606
0.0026812,0.7872856
0.002686,0.787312
0.0026926,0.7873456
0.0026962,0.7873674
0.0026978,0.7873952
0.0027002,0.7874202
0.0027048,0.7874464
0.0027078,0.7874736
0.0027122,0.7875016
0.0027178,0.7875278
0.002723,0.7875506
0.0027288,0.787577
0.0027346,0.787606
0.0027414,0.7876276
0.0027472,0.7876496
0.0027492,0.7876732
0.0027526,0.7877016
0.0027554,0.7877312
0.0027604,0.7877562
0.002765,0.7877786
0.0027678,0.7878016
0.002771,0.7878204
0.0027772,0.7878416
0.002781,0.78787
0.002787,0.787898
0.0027934,0.7879222
0.002797,0.787944
0.0028018,0.7879712
0.0028048,0.7879958
0.0028088,0.788023
0.0028164,0.788043
0.0028212,0.7880674
0.002826,0.7880986
0.0028286,0.7881178
