phase_2,phase_4
0.0,0.770588
4.2e-6,0.7706174
8.4e-6,0.7706444
1.22e-5,0.7706666
1.6e-5,0.7706858
1.94e-5,0.7707202
2.68e-5,0.7707464
2.92e-5,0.7707728
3.56e-5,0.7707996
3.96e-5,0.7708274
4.4e-5,0.770862
4.74e-5,0.7708928
5.3e-5,0.7709174
5.62e-5,0.7709466
6.06e-5,0.7709776
6.52e-5,0.7710014
7.02e-5,0.7710286
7.18e-5,0.7710544
7.7e-5,0.7710794
7.98e-5,0.771103
8.44e-5,0.771128
8.8e-5,0.771156
9.4e-5,0.7711804
9.58e-5,0.771203
0.0001018,0.7712276
0.0001046,0.771252
0.0001076,0.7712776
0.0001098,0.7713018
0.0001126,0.7713296
0.0001188,0.7713554
0.0001212,0.771395
0.0001244,0.771423
0.0001288,0.7714496
0.0001318,0.7714808
0.000137,0.7715056
0.0001414,0.7715266
0.0001458,0.7715568
0.000151,0.771583
0.0001556,0.7716094
0.0001602,0.7716318
0.0001642,0.7716556
0.0001682,0.771676
0.0001732,0.771709
0.0001802,0.7717382
0.000186,0.771763
0.0001906,0.7717942
0.0001932,0.771821
0.0001968,0.7718434
0.0001998,0.7718738
0.0002036,0.7719002
0.0002074,0.7719216
0.000211,0.7719494
0.0002148,0.7719736
0.0002188,0.7720022
0.0002222,0.7720336
0.0002258,0.7720562
0.0002294,0.772083
0.000232,0.7721142
0.0002362,0.7721384
0.0002384,0.7721684
0.000242,0.7721954
0.0002496,0.772228
0.000252,0.7722582
0.0002578,0.7722806
0.0002606,0.7723096
0.0002654,0.7723374
0.0002706,0.7723606
0.0002758,0.7723896
0.0002802,0.7724198
0.0002838,0.7724458
0.0002884,0.7724706
0.0002936,0.7724958
0.0002988,0.7725194
0.0003036,0.7725368
0.0003074,0.7725594
0.0003112,0.772581
0.0003144,0.7726058
0.0003178,0.7726342
0.000321,0.7726646
0.0003258,0.7726878
0.0003294,0.7727146
0.0003312,0.772741
0.0003354,0.772766
0.0003408,0.772791
0.0003452,0.7728168
0.0003514,0.7728394
0.0003574,0.7728634
0.0003612,0.7728886
0.000367,0.7729176
0.000372,0.7729442
0.000375,0.7729714
0.00038,0.7729936
0.0003846,0.7730162
0.000389,0.77304
0.0003916,0.773067
0.0003986,0.7730938
0.000402,0.7731218
0.000404,0.7731432
0.0004072,0.7731742
0.000411,0.7732038
0.0004144,0.7732408
0.00042,0.773266
0.0004236,0.7732922
0.000429,0.7733142
0.0004346,0.7733484
0.0004382,0.7733764
0.0004414,0.7734026
0.0004472,0.7734248
0.0004508,0.7734456
0.0004562,0.7734752
0.0004628,0.7735048
0.0004674,0.7735272
0.0004696,0.7735584
0.0004772,0.7735838
0.0004828,0.7736156
0.000491,0.7736368
0.0004948,0.7736662
0.0004992,0.7736932
0.0005024,0.7737176
0.000508,0.773743
0.0005126,0.7737728
0.0005172,0.7738026
0.0005212,0.7738298
0.0005258,0.7738516
0.0005296,0.7738774
0.0005326,0.773904
0.000537,0.7739264
0.0005398,0.7739508
0.0005434,0.7739798
0.0005482,0.7740038
0.0005538,0.7740298
0.0005578,0.774061
0.0005618,0.7740866
0.0005656,0.7741134
0.0005698,0.774143
0.0005738,0.7741738
0.0005754,0.774198
0.0005806,0.7742226
0.0005872,0.7742494
0.0005908,0.7742718
0.0005988,0.774299
0.0006042,0.7743272
0.0006092,0.774355
0.000614,0.7743826
0.0006172,0.7744158
0.0006188,0.7744458
0.0006226,0.7744802
0.0006262,0.7745118
0.000631,0.7745456
0.0006356,0.7745712
0.0006384,0.7745974
0.0006396,0.774625
0.0006462,0.7746566
0.000652,0.7746824
0.000659,0.7747092
0.0006624,0.7747372
0.0006666,0.774763
0.000671,0.7747834
0.0006734,0.7748122
0.000677,0.7748412
0.0006796,0.7748704
0.0006834,0.774895
0.0006888,0.7749204
0.0006924,0.7749478
0.0006988,0.7749684
0.0007036,0.7749982
0.000709,0.775029
0.0007152,0.7750522
0.0007194,0.7750778
0.0007242,0.775105
0.0007264,0.7751306
0.0007286,0.7751534
0.0007314,0.7751836
0.0007344,0.775209
0.0007394,0.7752364
0.0007442,0.7752602
0.000748,0.7752864
0.0007538,0.7753066
0.0007582,0.7753348
0.000762,0.7753588
0.0007664,0.7753868
0.0007694,0.7754118
0.0007742,0.7754408
0.0007788,0.7754664
0.0007834,0.7754944
0.0007876,0.7755224
0.0007932,0.7755492
0.0007974,0.775579
0.0008014,0.775601
0.0008058,0.7756306
0.0008098,0.7756558
0.0008142,0.7756774
0.0008184,0.775705
0.0008224,0.7757332
0.0008284,0.7757548
0.000832,0.7757792
0.0008392,0.7758112
0.000843,0.7758384
0.0008474,0.775865
0.0008524,0.775889
0.0008562,0.7759162
0.0008592,0.775935
0.0008614,0.775959
0.0008668,0.7759848
0.0008714,0.7760148
0.0008752,0.7760458
0.0008822,0.7760718
0.0008872,0.7760984
0.0008918,0.7761222
0.0008948,0.7761484
0.000898,0.7761728
0.0009008,0.776202
0.0009052,0.776226
0.00091,0.7762522
0.0009136,0.7762782
0.0009194,0.77631
0.0009232,0.7763356
0.0009266,0.7763562
0.0009318,0.7763836
0.0009354,0.7764066
0.0009386,0.7764298
0.0009422,0.7764578
0.0009446,0.776484
0.0009478,0.7765124
0.0009508,0.7765398
0.0009558,0.7765616
0.0009586,0.7765866
0.0009632,0.7766094
0.0009686,0.7766286
0.000974,0.7766538
0.0009782,0.7766784
0.0009832,0.7767052
0.0009894,0.7767298
0.0009944,0.7767528
0.0009986,0.7767758
0.001004,0.7768016
0.001007,0.7768324
0.0010104,0.7768638
0.0010142,0.7768878
0.0010182,0.7769144
0.0010226,0.7769398
0.0010264,0.7769614
0.0010346,0.7769812
0.0010396,0.7770118
0.0010446,0.7770364
0.0010484,0.7770614
0.0010522,0.7770878
0.0010552,0.777113
0.0010582,0.7771312
0.0010624,0.7771568
0.001067,0.7771782
0.0010706,0.7772052
0.0010752,0.7772276
0.0010786,0.7772514
0.0010826,0.7772826
0.0010872,0.7773094
0.0010908,0.7773356
0.0010948,0.777363
0.0010982,0.7773914
0.0011012,0.7774166
0.0011054,0.777441
0.0011092,0.7774674
0.0011132,0.7774882
0.0011174,0.7775216
0.0011226,0.7775456
0.0011254,0.777568
0.0011298,0.777596
0.0011332,0.7776244
0.0011356,0.7776488
0.0011398,0.7776772
0.0011466,0.777711
0.001151,0.7777402
0.0011542,0.777762
0.0011632,0.7777938
0.0011674,0.777818
0.0011714,0.777846
0.0011746,0.7778706
0.00118,0.7778962
0.001185,0.7779186
0.001188,0.7779442
0.0011948,0.7779716
0.0011986,0.7779962
0.0012018,0.7780232
0.0012066,0.7780536
0.001212,0.7780792
0.0012152,0.778107
0.0012178,0.7781288
0.0012216,0.7781548
0.0012254,0.7781774
0.0012298,0.7782094
0.0012356,0.7782424
0.0012408,0.778273
0.0012466,0.7782974
0.0012528,0.7783266
0.0012588,0.7783506
0.0012636,0.7783712
0.001269,0.778395
0.0012734,0.7784238
0.0012752,0.7784496
0.0012792,0.7784746
0.001282,0.7784974
0.0012848,0.7785244
0.0012878,0.7785478
0.0012916,0.778574
0.0012934,0.7786018
0.001298,0.7786348
0.0013034,0.7786574
0.0013078,0.7786862
0.0013142,0.7787168
0.0013184,0.7787432
0.0013232,0.7787696
0.0013276,0.7787932
0.0013318,0.7788224
0.0013358,0.7788482
0.0013384,0.7788768
0.0013432,0.778897
0.001347,0.778924
0.0013522,0.778944
0.001356,0.7789714
0.0013618,0.7789978
0.001365,0.7790216
0.0013674,0.7790412
0.0013706,0.7790628
0.001376,0.7790874
0.0013784,0.7791144
0.0013842,0.779142
0.0013876,0.7791692
0.00139,0.7791918
0.0013932,0.7792156
0.0013964,0.7792462
0.0014002,0.7792786
0.0014046,0.7793032
0.0014092,0.7793288
0.0014136,0.7793568
0.001415,0.7793886
0.0014192,0.779413
0.0014218,0.7794364
0.0014234,0.7794636
0.0014274,0.7794944
0.0014324,0.779522
0.0014364,0.779545
0.0014406,0.77957
0.001446,0.779597
0.0014514,0.779624
0.0014562,0.7796442
0.001461,0.7796706
0.0014646,0.779699
0.0014698,0.7797308
0.001475,0.7797562
0.0014786,0.779787
0.001482,0.7798162
0.0014838,0.7798472
0.0014878,0.7798758
0.0014896,0.7799024
0.001493,0.7799194
0.0014976,0.779944
0.001501,0.7799654
0.0015056,0.7799878
0.0015092,0.7800104
0.0015142,0.7800368
0.001518,0.7800628
0.0015214,0.7800834
0.0015248,0.780108
0.0015274,0.7801346
0.0015322,0.7801596
0.001536,0.780189
0.0015396,0.7802188
0.0015428,0.7802452
0.001545,0.7802672
0.0015498,0.7802968
0.0015536,0.7803264
0.0015578,0.7803494
0.0015616,0.7803722
0.0015654,0.7803932
0.0015696,0.7804174
0.0015724,0.7804396
0.0015756,0.7804622
0.001582,0.780483
0.0015882,0.7805088
0.0015924,0.7805362
0.0015958,0.780564
0.0015994,0.7805888
0.001606,0.7806128
0.0016132,0.7806408
0.0016182,0.7806672
0.0016234,0.7806948
0.001627,0.7807202
0.0016326,0.7807448
0.0016372,0.7807682
0.0016412,0.780794
0.001646,0.7808222
0.0016496,0.7808534
