phase_2,phase_4
0.0,0.7704928
3.2e-6,0.7705226
9.0e-6,0.7705468
1.3e-5,0.7705718
1.72e-5,0.7705958
2.2e-5,0.7706232
2.68e-5,0.770651
3.04e-5,0.7706772
3.4e-5,0.7707018
3.78e-5,0.7707258
4.26e-5,0.7707558
4.58e-5,0.7707844
5.12e-5,0.7708116
5.72e-5,0.7708424
6.12e-5,0.7708688
6.7e-5,0.7708982
7.38e-5,0.7709258
7.62e-5,0.7709522
8.02e-5,0.770979
8.3e-5,0.771004
8.74e-5,0.771033
9.16e-5,0.7710588
9.7e-5,0.7710868
9.96e-5,0.7711116
0.0001052,0.7711336
0.0001096,0.7711586
0.0001118,0.771188
0.000114,0.7712134
0.0001176,0.7712378
0.0001208,0.7712672
0.000123,0.7713014
0.0001258,0.771335
0.0001322,0.7713572
0.0001362,0.7713844
0.000141,0.7714112
0.000146,0.771438
0.0001532,0.7714662
0.0001592,0.771494
0.0001628,0.7715202
0.0001666,0.7715428
0.0001718,0.7715738
0.0001768,0.7715912
0.0001808,0.7716198
0.0001864,0.7716486
0.0001908,0.7716728
0.0001926,0.7717064
0.0001948,0.771734
0.0001988,0.771754
0.0002024,0.7717844
0.000207,0.7718082
0.0002106,0.7718362
0.000214,0.77187
0.0002174,0.771897
0.0002218,0.771922
0.0002252,0.7719546
0.000229,0.7719804
0.0002324,0.7720084
0.0002366,0.772039
0.000241,0.7720602
0.0002434,0.7720894
0.0002478,0.7721156
0.0002532,0.7721446
0.000257,0.7721704
0.000261,0.7721942
0.000263,0.7722224
0.0002666,0.772254
0.000273,0.772278
0.000279,0.7723026
0.0002818,0.7723324
0.000285,0.7723566
0.0002876,0.7723836
0.0002926,0.7724114
0.0002958,0.7724342
0.0003008,0.7724594
0.000303,0.7724796
0.0003062,0.7725046
0.0003104,0.7725328
0.0003124,0.7725608
0.0003152,0.772587
0.0003204,0.7726094
0.0003254,0.7726332
0.0003288,0.7726622
0.0003314,0.772689
0.0003358,0.772711
0.0003398,0.772738
0.0003434,0.7727594
0.000348,0.772782
0.0003522,0.7728106
0.0003598,0.7728334
0.0003636,0.7728566
0.0003658,0.7728818
0.000372,0.7729082
0.0003766,0.7729368
0.0003816,0.7729606
0.0003838,0.7729878
0.000389,0.7730142
0.0003922,0.7730368
0.0003956,0.7730598
0.0003986,0.7730864
0.0004018,0.7731138
0.0004078,0.7731508
0.0004128,0.7731786
0.000417,0.7732102
0.0004216,0.7732352
0.0004264,0.7732696
0.0004314,0.773298
0.000435,0.7733262
0.0004382,0.7733528
0.000442,0.7733836
0.0004462,0.7734094
0.0004516,0.773431
0.0004548,0.7734474
0.0004556,0.7734826
0.0004644,0.7735088
0.0004692,0.7735374
0.0004746,0.773565
0.000477,0.7735926
0.0004798,0.7736262
0.000481,0.7736494
0.000489,0.7736784
0.000493,0.7737062
0.0004972,0.7737308
0.0005014,0.773751
0.0005062,0.773776
0.0005118,0.7738036
0.0005136,0.7738286
0.0005178,0.7738554
0.0005216,0.7738852
0.0005262,0.7739146
0.0005318,0.773942
0.0005356,0.7739664
0.0005394,0.7739946
0.0005426,0.7740208
0.0005456,0.7740478
0.0005496,0.7740814
0.0005528,0.7741086
0.0005562,0.7741352
0.0005606,0.77416
0.0005674,0.774187
0.000572,0.7742112
0.000578,0.7742398
0.0005818,0.774263
0.0005854,0.7742914
0.0005878,0.7743232
0.0005908,0.7743518
0.0005934,0.7743756
0.0005968,0.7744034
0.0006022,0.774437
0.0006072,0.774465
0.0006112,0.77449
0.0006138,0.7745184
0.0006174,0.7745482
0.0006238,0.7745748
0.0006302,0.774602
0.0006354,0.7746306
0.000638,0.7746594
0.0006428,0.774688
0.0006488,0.7747116
0.0006526,0.7747342
0.000657,0.7747574
0.0006598,0.7747834
0.0006632,0.7748102
