DG,Order_1,DG_limiter,QBDRAP
0.25439202625239854,0.25439202625239854,0.23624934059568975,0.259670917723034
0.12572156614917515,0.22081086718177464,0.18404176877009698,0.20165764774057543
-0.1372198181754402,0.19514723066271197,0.13427615548683894,0.13068720998590957
-0.36752864684174846,0.17388535579129014,0.0793948480841486,0.057575109260062034
-0.3688829013847409,0.15519344208451655,0.02786108218256187,-0.014882411641336569
-0.4311788317227234,0.13831368845388375,-0.031016426231804867,-0.08477071567553209
-0.5712351501748203,0.12279726595030682,-0.08757129410826799,-0.14999383874313282
-0.5792723503303958,0.10834900352377057,-0.14560690089218212,-0.2094925871469914
-0.5826479484660477,0.09483820831174082,-0.19944732129381892,-0.26328319346955287
-0.6973518686163647,0.08204767679126611,-0.25784805736533184,-0.31182055015110527
-0.7163364297048139,0.06992738006121713,-0.30594129825266847,-0.3558149580413169
