DG,Unif,DG_limiter,QBDRAP
0.16299252766139818,0.16299252766139818,0.16299252766139818,0.16239798922995977
-0.7019182986216683,-0.10196607509487754,-0.013294873664401068,-0.21620412317604185
-1.3274560356748344,-0.23473155673730278,-0.009657957793406826,-0.4590122992778867
-2.220443370626086,-0.32484856046706206,-0.009498629325741735,-0.6440666577420184
-2.6774237239618497,-0.3939017722938787,-0.008172976386072384,-0.7963831050828923
-3.1811629967409374,-0.45026518767788454,-0.008692858698239159,-0.9273140815861943
-3.4300560454176607,-0.4981006008786265,-0.0038885374334198873,-1.0428458379002612
-3.6571585796582453,-0.5397862530404264,-0.0037370899915276363,-1.1464701300615898
-3.9768710157475704,-0.576815792847575,-0.003923810202647894,-1.2404255843890182
-4.08175798808554,-0.6101891031015224,-0.004450724082274764,-1.326286869512399
-4.276397481262442,-0.640609370424295,-0.004480566501551402,-1.4052455034230673
