unnormalised,naive,normalised
-0.2580144746028125,-0.3714863127632018,-0.37148631294725837
-0.45298943191584884,-0.48840535750374037,-0.4858944269341624
-0.6484218509858436,-0.618253135377549,-0.6182158173462201
-0.8141409548437284,-0.7605042413352952,-0.7604055216370783
-0.9560102413729181,-0.8937506298972709,-0.893399515096288
-1.0795021596616932,-1.0139556378228398,-1.0134843417633002
-1.1883819349203217,-1.121605651252064,-1.121117368383195
-1.2855576908203286,-1.2184150579360218,-1.217953182871343
-1.373214236891175,-1.30608651866387,-1.3056652083254765
-1.4529974486669515,-1.3860537047494823,-1.3856752690424774
-1.5261721038995784,-1.4594829213691227,-1.4591448189668077
