unnormalised,naive,normalised
-0.7669407767532861,-1.1339098517418227,-1.1339098517418227
-1.0360421474663977,-1.2771659583499757,-1.2747486048349514
-1.2815373357906197,-1.4078803088025453,-1.4077849869645187
-1.479208356454939,-1.5571327555737389,-1.5571341911735532
-1.6414887110801193,-1.6964330869935265,-1.6961679318280778
-1.7800755120884417,-1.822396849290807,-1.8219537052891446
-1.9012039380794437,-1.9357262941690303,-1.9352167459926681
-2.0085837316643596,-2.037845647314001,-2.0373332514695512
-2.104829312838204,-2.1303107154779672,-2.1298254806811614
-2.1919025050301166,-2.214535860520107,-2.214089201984001
-2.2713236795113763,-2.2917332449657684,-2.2913273652963118
