DG,DG_limit,Order_1,QBDRAP
0.24944470373846875,0.24944470373846875,0.24944470373846875,0.25106659588299673
0.06644564146788522,0.12916553266001482,0.15583283614336255,0.14212409868817324
0.061869300065282115,0.13715210181184226,0.12659844865894884,0.10519366629906667
0.05825258329469228,0.1410661001700336,0.11166292641173468,0.08844648218383476
0.05761471589715127,0.14202559042668964,0.10240069044188126,0.07925810143560728
0.05630026942368159,0.14050206212546326,0.09617609076631249,0.07350495542870049
0.055829134707696446,0.1404054774543129,0.09166187325905804,0.06955593662337088
0.055252216960597775,0.14054224671450385,0.08811756939973535,0.06666689985641992
0.05472851316252379,0.14048302568662166,0.08524804187509026,0.06445915163686698
0.05440407084725794,0.14075259441287882,0.08286932216992925,0.06272122848820293
0.05395297046432922,0.14024825867031324,0.08091893341843291,0.061324717949287164
