DG,DG_limit,Order_1,QBDRAP
0.24874069373846872,0.24874069373846872,0.24874069373846872,0.2503625858829967
0.06574163146788518,0.1284615226600148,0.1551288261433625,0.1414200886881732
0.06116529006528208,0.13644809181184223,0.1258944386589488,0.10448965629906663
0.05754857329469225,0.14036209017003357,0.11095891641173465,0.08774247218383473
0.056910705897151234,0.1413215804266896,0.10169668044188122,0.07855409143560725
0.05559625942368156,0.13979805212546323,0.09547208076631246,0.07280094542870046
0.05512512470769641,0.13970146745431286,0.09095786325905801,0.06885192662337085
0.05454820696059774,0.13983823671450382,0.08741355939973532,0.06596288985641989
0.05402450316252376,0.13977901568662163,0.08454403187509023,0.06375514163686695
0.05370006084725791,0.1400485844128788,0.08216531216992921,0.062017218488202894
0.053248960464329184,0.1395442486703132,0.08021492341843288,0.06062070794928713
