dg1,dg2,order13,qbdrap4
-0.29601575511605893,-0.29601575511605893,-0.29601575511605893,-0.28600669299565606
-0.37982419485678154,-0.3244476245467484,-0.3231024103456988,-0.3386755607285217
-0.38383253938860945,-0.3226224139782241,-0.34227841667464315,-0.3622889001451383
-0.38618039360108886,-0.3213438163828787,-0.3511636786987338,-0.37173290289052524
-0.3868473416947542,-0.32042595307513083,-0.35668457904147177,-0.3767092411709291
-0.3872270308888839,-0.3201723282092418,-0.3606314391478237,-0.37966541450067615
-0.387704509594871,-0.3200962385014,-0.3635966513028553,-0.38158315311869295
-0.3878541830632905,-0.3200451062607372,-0.3659093234783002,-0.38291748372110607
-0.38805194715288294,-0.3201203976820424,-0.367766460555043,-0.3838990957713483
-0.3882168222161192,-0.32024439486863343,-0.3692892131800942,-0.38463500289727626
-0.38828408350555427,-0.32019947046058406,-0.3705634384006766,-0.3852154813369901
