t,φ,X,n
0.5,3,0.0,1
0.5,3,0.0,1
0.5,2,1.6596195779895742,1
0.5,3,0.0,1
0.5,1,0.05679231858129841,1
0.5,3,0.0,1
0.5,1,0.6802612742954353,0
0.5,1,1.216716244053627,0
0.5,1,0.6433337798280596,0
0.5,2,0.28618700885563353,1
0.5,2,0.018765886638546836,0
0.5,1,0.5313462300558136,2
0.5,3,0.0,1
0.5,2,0.8740133374609369,0
0.5,1,1.4912507215145199,0
0.5,1,4.010874775328306,0
0.5,3,0.0,2
0.5,1,1.3957030366040464,2
0.5,1,0.7269254126225072,0
0.5,2,0.08992038036818606,0
0.5,3,0.0,1
0.5,3,0.0,1
0.5,2,1.9844779337030563,1
0.5,1,1.279493337943632,0
0.5,1,0.789042589701159,0
0.5,3,0.0,1
0.5,3,0.0,1
0.5,2,0.5505350887086631,0
0.5,3,0.0,1
0.5,1,6.077924119068844,0
0.5,2,1.074783581195886,1
0.5,1,0.7860521332948248,0
0.5,1,0.8421811817136966,0
0.5,1,0.6907326951453692,0
0.5,2,0.21763512202691826,0
0.5,2,0.28007887575649826,0
0.5,1,0.9315147096651923,0
0.5,1,0.5936892095645406,1
0.5,3,0.0,1
0.5,1,2.711347121134179,0
0.5,1,0.15788792983153627,1
0.5,2,0.4683599814105044,0
0.5,2,0.4095570474300304,0
0.5,1,1.9695069156477967,0
0.5,1,0.47535203870144005,1
0.5,1,1.0239836826397593,0
0.5,1,1.2781754164907455,0
0.5,1,1.388200132909132,0
0.5,2,0.18148746596882698,1
0.5,2,2.2166594313360664,0
0.5,3,0.0,1
0.5,3,0.0,1
0.5,1,1.2929870881150023,0
0.5,2,0.4825014482731952,1
0.5,1,0.20155714615735953,1
0.5,2,0.10077106412396503,1
0.5,2,0.6922990922394869,1
0.5,2,1.0899314812255851,1
0.5,2,0.08165648752531823,1
0.5,1,4.153371696788251,1
0.5,1,5.361118532973003,0
0.5,1,0.7724443172621507,1
0.5,1,3.3709559553173802,0
0.5,1,0.5084354152352455,0
0.5,2,0.27175538112134523,1
0.5,1,1.281856763525036,0
0.5,1,1.3952940703626182,1
0.5,2,0.112951397194335,0
0.5,2,0.291762665634275,0
0.5,2,2.4975235511081944,0
0.5,1,1.5880929048550916,0
0.5,2,2.654385817575254,3
0.5,1,0.8170742591136737,0
0.5,2,0.38950707538735074,0
0.5,1,2.0426422469266705,0
0.5,2,2.9783867412595497,0
0.5,2,0.41561865794758746,1
0.5,2,1.400462039797932,1
0.5,3,0.0,1
0.5,1,1.0850256451028384,0
0.5,1,0.9220431688957715,1
0.5,1,1.287814339652129,0
0.5,3,0.0,1
0.5,2,0.5885790155475443,1
0.5,1,0.8170312370451291,0
0.5,1,1.05770587804319,0
0.5,1,0.3355458249091765,1
0.5,2,2.31734368132009,0
0.5,3,0.0,2
0.5,2,0.9065822488913182,1
0.5,1,2.644944407732486,0
0.5,1,0.9116349456589936,2
0.5,2,0.06289230758310127,0
0.5,1,5.867760226375803,0
0.5,2,0.2589802906376575,1
0.5,1,1.0553665081800516,0
0.5,2,0.4779101869664252,0
0.5,1,1.0390524624368531,0
0.5,1,0.6480272133912226,0
0.5,1,1.5667319081466458,0
