dg,dg_limiter,order1,qbdrap
"[-0.38899223414282685, 0.31745816181859393]","[-0.38899223414282685, 0.31745816181859393]","[-0.38899223414282685, 0.31745816181859393]","[-0.3759412773417988, 0.31475546414579125]"
"[-0.4436505627865712, 0.25132446850033974]","[-0.4369291916175875, 0.25580913275483647]","[-0.46528932312131477, 0.26914594489749216]","[-0.45042274447277186, 0.27755746744479776]"
"[-0.4432900887630177, 0.2502771336936752]","[-0.4467941312093597, 0.2536734928897245]","[-0.4420815870419088, 0.2602195659375705]","[-0.49416170655107106, 0.2580009278374648]"
"[-0.44649121692115756, 0.2505706367487986]","[-0.4480740349605308, 0.25509195586997835]","[-0.44444314636503274, 0.2569672381187962]","[-0.44066660766713983, 0.2507792872801994]"
