dg1,dg2,order13,qbdrap4
-0.2969398293137088,-0.2969398293137088,-0.2969398293137088,-0.28690969195087695
-0.38097858040533056,-0.32548478088973487,-0.32408602107288775,-0.3396951244561468
-0.3848749283404867,-0.3236145878907105,-0.3433064838250006,-0.3633848663519934
-0.3872604034855103,-0.32228761653203664,-0.3522318922208858,-0.3728512997655043
-0.38792214672745806,-0.32138252826448815,-0.3577664757770077,-0.3778402681255137
-0.3883125588691257,-0.32113683153487577,-0.36172317421664774,-0.3807928063858496
-0.3887675067220515,-0.3210591174875878,-0.36469406157324014,-0.38270449465495887
-0.3889220177257756,-0.3210037669634189,-0.3670115889731524,-0.3840481221392033
-0.3891107448975911,-0.3210794836529238,-0.3688711555061702,-0.38502346959133865
-0.389293811227125,-0.3212046413578968,-0.3703991676180802,-0.38574482490617557
-0.3893451764987155,-0.3211575352340692,-0.371680022187273,-0.3862788769489013
