dg,dg_limiter,order1,qbdrap
"[-0.8831394986485948, -0.6449726624969031]","[-0.8831394986485948, -0.6449726624969031]","[-0.8831394986485948, -0.6449726624969031]","[-0.8651923268144978, -0.6501887307166538]"
"[-0.7373721109531934, -0.7343123163754384]","[-0.7374739875829114, -0.6837281378480217]","[-0.7723925957332187, -0.6962247939618794]","[-0.8013544864795809, -0.6864926181930348]"
"[-0.7390391583394744, -0.723369053038291]","[-0.7390182550353744, -0.6965753040681486]","[-0.7557977403682576, -0.7079414087658839]","[-0.7662694059765345, -0.7118685558554138]"
"[-0.7396911026368933, -0.724999504356279]","[-0.7396702502881832, -0.6866431491334684]","[-0.7499212188978893, -0.7126378676734051]","[-0.7505161161475651, -0.7202993038533478]"
