unnormalised,naive,normalised
-0.8358624088574714,-0.5901594917325541,-0.590159491732554
-1.0733271048929338,-0.8761196790147288,-0.8663572936571312
-1.2863044888354769,-1.1677805567198947,-1.1680041584465481
-1.4624185162086716,-1.3970029554699415,-1.3959517800761256
-1.6117639462850983,-1.5804816377822954,-1.5784050463520944
-1.7404448945757554,-1.7331284283811934,-1.730503394969136
-1.852728050090899,-1.8632881041005824,-1.8604180908908858
-1.9520797829629117,-1.9765150974789054,-1.9735653546041854
-2.0411545103342172,-2.076691554522236,-2.0737505013197732
-2.121876418249526,-2.166515879309402,-2.163630977834293
-2.1956737654372014,-2.2479270982836645,-2.2451230513398635
