DG,Order_1,QBDRAP
-1.0992098638874377,-1.0992098638874377,-0.8618029514859602
-0.987642102993545,-0.9700543052734768,-1.02921480944127
-1.399347329360334,-1.2795147516913614,-1.0065184356152115
-2.1411223208364745,-1.5338441511477496,-1.024207823200059
-3.072687912678075,-1.736428297870405,-1.0781268781770603
-3.7616897752456304,-1.9026929066973965,-1.1505196462639347
-3.8499169056652565,-2.0432091572723614,-1.2299796678433663
-3.8528349890431257,-2.1645533375917445,-1.3108957717660152
-3.8530517675036604,-2.2713514785151467,-1.3905703668615588
-3.853313256468131,-2.3665402749776816,-1.4676486489743077
-3.8535596053205388,-2.4524995850753566,-1.5414014468132888
