DG,Order_1,QBDRAP
-1.295329798245337,-1.295329798245337,-1.2444391865488347
-1.2978545067289518,-1.3055574411814534,-1.288365882456723
-1.6839378455110088,-1.6360472357354372,-1.2806219457271324
-2.4212083242472167,-1.8977825120835645,-1.2925130550250863
-3.384313951640939,-2.103592996910379,-1.3415608284081888
-4.000043682465323,-2.271594582540459,-1.4150047482849
-4.00004371553661,-2.4130785577606404,-1.497767834326193
-4.000043754281345,-2.535106876875583,-1.5817022769203168
-4.000043798629304,-2.6423072752047876,-1.662989447062144
-4.000043848540004,-2.7378553470100293,-1.7401013589073484
-4.000043903948354,-2.8240133737624373,-1.8126549926216196
