DG,Order_1,QBDRAP
-0.3010299956639816,-0.3010299956639816,-0.29588122178507936
-0.32686196886542834,-0.3824908692413545,-0.2925356705495532
-0.7959083437013585,-0.6705983991224429,-0.2766489221998572
-2.0187627437405053,-0.9186820405806769,-0.2981665487478363
-3.757427093293724,-1.1184483561447216,-0.39497872647016374
-5.459672766897358,-1.2834792479857728,-0.5400546347746162
-5.5085224584527746,-1.4231034749019613,-0.7028269309312123
-5.381231656164932,-1.5442544205046107,-0.8666896167384518
-5.270206635259197,-1.6509202840615216,-1.0240813918976042
-5.1722371858864085,-1.7456520177543984,-1.1718705091538244
-5.084663476962717,-1.831745563109111,-1.3090102750116472
