DG,Order_1,QBDRAP
-0.6989699609065722,-0.6989699609065722,-0.6001402612414727
-14.505958485798063,-0.9946287252883176,-0.8360965164328957
-13.92056705230009,-1.4121936556260317,-1.0785917117186032
-13.573728875237295,-1.6973233894396098,-1.3395266534834092
-13.331928698983495,-1.912674063997607,-1.5795165183821853
-13.1461380365605,-2.0855357587423784,-1.7926249054916132
-12.995271114739745,-2.2299348711694282,-1.9806535833639207
-12.868403516782404,-2.353778749460944,-2.1474825522949432
-12.759131483848778,-2.462101531061793,-2.2967927585585852
-12.663368509977634,-2.558496512694784,-2.431601175788674
-12.57834139378163,-2.645219037903753,-2.554303578649359
