DG,Unif,QBDRAP
-0.4146518770450546,-0.4146518770450546,-0.37137579488265116
-7.306242481601508,-0.62339561114022,-0.48577987803675216
-7.1331846041510065,-0.8310367349857031,-0.6180896156135625
-7.035170034686533,-0.9734650802261273,-0.7602626384810401
-6.967369651457623,-1.0811340774839795,-0.8932377691924123
-6.915962847671411,-1.1675805410926634,-1.0133026400881067
-6.874908243892481,-1.2397809213112663,-1.1209151728516697
-6.841036663844505,-1.3017142527575096,-1.2177302014068652
-6.812486566833018,-1.355906979368646,-1.3054212662597575
-6.788065710841531,-1.404107314736161,-1.3854102560782433
-6.766974444363029,-1.4474890381535575,-1.458858662971561
