DG,Unif,QBDRAP
-1.0167118635065278,-1.0167118635065278,-0.841339597268304
-7.462872825909701,-1.2522281634601558,-1.0468959527883424
-7.458188508424776,-1.6189549867633328,-1.139249260953795
-7.4572082396191774,-1.8816629492946562,-1.2851141934092607
-7.457135436246679,-2.0843029999783766,-1.424921484416408
-7.457451461915088,-2.2489108753722706,-1.5519020422733065
-7.458003572223192,-2.3874184914767085,-1.6656663636580427
-7.458733104271006,-2.506937787716759,-1.7677573770263073
-7.459612811004988,-2.6120325222060727,-1.8599339669792705
-7.460631007267592,-2.705804183579833,-1.9437422113468084
-7.461774741934592,-2.7904505067870145,-2.0204602364618904
