DG,QBDRAP
NaN,-1.1339098918146528
-6.194381199997748,-1.2747484029249538
-6.194381346832101,-1.4077842823092732
-6.194381576371178,-1.5571327233860763
-6.19438188706895,-1.6961656304199462
-6.194382270829041,-1.8219502522519424
-6.194382727333965,-1.9352120341415142
-6.194383250668876,-2.037326871443182
-6.194383831236451,-2.129817291296814
-6.19438446498215,-2.214079023366031
-6.194385145095654,-2.2913148130059287
